Lemmatiser training+test
cutoff  fraction  iterations    trainlines     affixrules         affix%      a-same        a-ambiguous                                 a-different    a-same-stddev% a-amb-stddev%                               a-diff-stddev%   a-same%       a-ambiguous%                                a-different%   a-amb.rules%    a_false_amb a_false_not_amb    a_true_amb  a_true_not_amb    a_precision     a_recall
0       1.000000          1    9627.000000    4946.000000      51.376337    9304.000000     158.000000     158.000000       7.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      96.644853       1.641217       1.641217       0.072712       0.000000       3.355147       0.000000       0.000000       3.355147      96.644853       1.000000       1.000000
1       1.000000          1    9627.000000    2217.000000      23.028981    6759.000000     358.000000     365.000000       8.000000    2137.000000       0.000000       0.000000       0.000000       0.000000       0.000000      70.208788       3.718708       3.791420       0.083100      22.197985       9.462969       7.406253       1.298431       2.056715      89.238600       0.121921       0.613003
2       1.000000          1    9627.000000     474.000000       4.923652    5269.000000     214.000000     206.000000       7.000000    3931.000000       0.000000       0.000000       0.000000       0.000000       0.000000      54.731484       2.222915       2.139815       0.072712      40.833074       8.174925       7.416641       2.596863       0.758284      89.228212       0.048634       0.226006
3       1.000000          1    9627.000000     280.000000       2.908487    4935.000000     178.000000     155.000000       5.000000    4354.000000       0.000000       0.000000       0.000000       0.000000       0.000000      51.262075       1.848966       1.610055       0.051937      45.226966       7.302379       6.814168       2.866937       0.488210      89.830685       0.034584       0.145511
4       1.000000          1    9627.000000     208.000000       2.160590    4769.000000     152.000000     102.000000       0.000000    4604.000000       0.000000       0.000000       0.000000       0.000000       0.000000      49.537758       1.578893       1.059520       0.000000      47.823829       6.263634       5.972785       3.064298       0.290849      90.672068       0.023769       0.086687
5       1.000000          1    9627.000000     167.000000       1.734704    4602.000000     161.000000     109.000000       0.000000    4755.000000       0.000000       0.000000       0.000000       0.000000       0.000000      47.803054       1.672380       1.132232       0.000000      49.392334       6.751844       6.419445       3.022749       0.332398      90.225408       0.025237       0.099071
cutoff 0 Affix  a       8.506334 b       0.000000: N(rules)=   4946.000000*N(trainpairs)^0.000000
cutoff 1 Affix  a       7.703910 b       0.000000: N(rules)=   2217.000000*N(trainpairs)^0.000000
cutoff 2 Affix  a       6.161207 b       0.000000: N(rules)=    474.000000*N(trainpairs)^0.000000
cutoff 3 Affix  a       5.634790 b       0.000000: N(rules)=    280.000000*N(trainpairs)^0.000000
cutoff 4 Affix  a       5.337538 b       0.000000: N(rules)=    208.000000*N(trainpairs)^0.000000
cutoff 5 Affix  a       5.117994 b       0.000000: N(rules)=    167.000000*N(trainpairs)^0.000000

New algorithm, least wrongly lemmatised (MIN(diff)).
Suffix only     no
Redo training   no
cutoff          0
fraction          10000.000000
iterations                   1
trainlines        9627.000000
rules             4946.000000
rules%              51.376337
same%stdev           0.000000
ambi1%stdev          0.000000
ambi2%stdev          0.000000
ambi3%stdev          0.000000
diff%stdev           0.000000
same%               96.644853
ambi1%               1.641217
ambi2%               1.641217
ambi3%               0.072712
diff%                0.000000
amb.rules%           3.355147
false_amb%           0.000000
false_not_amb%       0.000000
true_amb%            3.355147
true_not_amb%       96.644853
precision            1.000000
recall               1.000000
