Lemmatiser training+test
cutoff  fraction  iterations    trainlines     affixrules         affix%      a-same        a-ambiguous                                 a-different    a-same-stddev% a-amb-stddev%                               a-diff-stddev%   a-same%       a-ambiguous%                                a-different%   a-amb.rules%    a_false_amb a_false_not_amb    a_true_amb  a_true_not_amb    a_precision     a_recall
0       1.000000          1    9640.000000    5218.000000      54.128631    9349.000000     143.000000     143.000000       5.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000      96.981328       1.483402       1.483402       0.051867       0.000000       3.018672       0.000000       0.000000       3.018672      96.981328       1.000000       1.000000
1       1.000000          1    9640.000000    2246.000000      23.298755    6729.000000     380.000000     380.000000      12.000000    2139.000000       0.000000       0.000000       0.000000       0.000000       0.000000      69.802905       3.941909       3.941909       0.124481      22.188797      10.363071       8.516598       1.172199       1.846473      88.464730       0.097802       0.611684
2       1.000000          1    9640.000000     483.000000       5.010373    5201.000000     258.000000     217.000000       3.000000    3961.000000       0.000000       0.000000       0.000000       0.000000       0.000000      53.952282       2.676349       2.251037       0.031120      41.089212       9.699170       9.004149       2.323651       0.695021      87.977178       0.037160       0.230241
3       1.000000          1    9640.000000     311.000000       3.226141    4878.000000     201.000000     162.000000       2.000000    4397.000000       0.000000       0.000000       0.000000       0.000000       0.000000      50.601660       2.085062       1.680498       0.020747      45.612033       8.454357       8.018672       2.582988       0.435685      88.962656       0.026448       0.144330
4       1.000000          1    9640.000000     231.000000       2.396266    4649.000000     206.000000     171.000000       5.000000    4609.000000       0.000000       0.000000       0.000000       0.000000       0.000000      48.226141       2.136929       1.773859       0.051867      47.811203       8.941909       8.620332       2.697095       0.321577      88.360996       0.018311       0.106529
5       1.000000          1    9640.000000     186.000000       1.929461    4471.000000     211.000000     170.000000       7.000000    4781.000000       0.000000       0.000000       0.000000       0.000000       0.000000      46.379668       2.188797       1.763485       0.072614      49.595436       9.605809       9.284232       2.697095       0.321577      87.697095       0.017024       0.106529
cutoff 0 Affix  a       8.559869 b       0.000000: N(rules)=   5218.000000*N(trainpairs)^0.000000
cutoff 1 Affix  a       7.716906 b       0.000000: N(rules)=   2246.000000*N(trainpairs)^0.000000
cutoff 2 Affix  a       6.180017 b       0.000000: N(rules)=    483.000000*N(trainpairs)^0.000000
cutoff 3 Affix  a       5.739793 b       0.000000: N(rules)=    311.000000*N(trainpairs)^0.000000
cutoff 4 Affix  a       5.442418 b       0.000000: N(rules)=    231.000000*N(trainpairs)^0.000000
cutoff 5 Affix  a       5.225747 b       0.000000: N(rules)=    186.000000*N(trainpairs)^0.000000

New algorithm, least wrongly lemmatised (MIN(diff)).
Suffix only     no
Redo training   no
cutoff          0
fraction          10000.000000
iterations                   1
trainlines        9640.000000
rules             5218.000000
rules%              54.128631
same%stdev           0.000000
ambi1%stdev          0.000000
ambi2%stdev          0.000000
ambi3%stdev          0.000000
diff%stdev           0.000000
same%               96.981328
ambi1%               1.483402
ambi2%               1.483402
ambi3%               0.051867
diff%                0.000000
amb.rules%           3.018672
false_amb%           0.000000
false_not_amb%       0.000000
true_amb%            3.018672
true_not_amb%       96.981328
precision            1.000000
recall               1.000000
